Date,ID,Sex,Age,Room,Haptic,Arousal,Valence
9-6 16-50-35,1,1,26,0,0, 0.187919,0.305155
9-6 16-50-35,1,1,26,1,0, 0.187919,0.639186
9-6 16-50-35,1,1,26,2,0, 0.607161,0.639186
9-6 16-50-35,1,1,26,3,0, 0.656778,0.671357
9-6 16-50-35,1,1,26,4,0, 0.45,0.671357
9-6 19-22-17,2,1,32,0,0,0.938409,0.697004
9-6 19-22-17,2,1,32,1,0,0.841912,0.772695
9-6 19-22-17,2,1,32,2,0,0.898608,0.855093
9-6 19-22-17,2,1,32,3,0,0.854402,0.887327
9-6 19-22-17,2,1,32,4,0,0.873297,0.930175
10-6 10-3-42,3,0,21,0,0,0.925556,0.971283 
10-6 10-3-42,3,0,21,1,0,0.912679,0.914099
10-6 10-3-42,3,0,21,2,0,0.860216,0.930431
10-6 10-3-42,3,0,21,3,0,0.862339,0.92206
10-6 10-3-42,3,0,21,4,0,0.916939,0.881627
10-6 12-8-19,4,0,21,0,0,0.887273,0.912118
10-6 12-8-19,4,0,21,1,0,0.89152,0.948232
10-6 12-8-19,4,0,21,2,0,0.915017,0.959462
10-6 12-8-19,4,0,21,3,0,1.0,0.961427
10-6 12-8-19,4,0,21,4,0,0.931634,0.966412
10-6 12-50-7,5,0,20,0,0,0.936161,0.81024
10-6 12-50-7,5,0,20,1,0,0.94177,0.764696
10-6 12-50-7,5,0,20,2,0,1.0,0.969091
10-6 12-50-7,5,0,20,3,0,0.67656,0.894926
10-6 12-50-7,5,0,20,4,0,0.850244,0.551619
10-6 13-23-5,6,0,20,0,0,0.656886,0.666875
10-6 13-23-5,6,0,20,1,0,0.712221,0.71978
10-6 13-23-5,6,0,20,2,0,0.541348,0.666264
10-6 13-23-5,6,0,20,3,0,0.73486,0.694486
10-6 13-23-5,6,0,20,4,0,0.742914,0.519141
11-6 15-53-30,7,0,31,0,0,0.788601,0.806061
11-6 15-53-30,7,0,31,1,0,0.850487,0.825918
11-6 15-53-30,7,0,31,2,0,0.811552,0.908349
11-6 15-53-30,7,0,31,3,0,0.67503,0.826227
11-6 15-53-30,7,0,31,4,0,0.928713,0.837482
11-6 16-20-44,8,1,25,0,0,0.669095,0.733655
11-6 16-20-44,8,1,25,1,0,0.614579,0.786471
11-6 16-20-44,8,1,25,2,0,0.361975,0.378683
11-6 16-20-44,8,1,25,3,0,0.377011,0.230906
11-6 16-20-44,8,1,25,4,0,0.242043,0.211868
11-6 17-27-59,9,1,35,0,0,0.72738,0.996036
11-6 17-27-59,9,1,35,1,0,0.92091,1.0 
11-6 17-27-59,9,1,35,2,0,0.812871,1.0
11-6 17-27-59,9,1,35,3,0,0.592574,1.0
11-6 17-27-59,9,1,35,4,0,0.631856,1.0
12-6 11-15-18,10,1,34,0,0,0.536956,0.760066
12-6 11-15-18,10,1,34,1,0,0.684477,0.760877
12-6 11-15-18,10,1,34,2,0,0.663642,0.675593 
12-6 11-15-18,10,1,34,3,0,0.375308,0.637008
12-6 11-15-18,10,1,34,4,0,0.736303,0.765005
12-6 13-37-11,11,0,30,0,0,0.89163,0.912297
12-6 13-37-11,11,0,30,1,0,0.903062,0.175127
12-6 13-37-11,11,0,30,2,0,0.297699,0.390895
12-6 13-37-11,11,0,30,3,0,0.082541,0.96734
12-6 13-37-11,11,0,30,4,0,0.835229,0.911428
12-6 14-44-18,12,0,22,0,0,0.961648,0.880982 
12-6 14-44-18,12,0,22,1,0,0.933273,0.811672
12-6 14-44-18,12,0,22,2,0,0.733637,0.822968
12-6 14-44-18,12,0,22,3,0,1.0,0.692364
12-6 14-44-18,12,0,22,4,0,1.0,0.959474
13-6 11-32-5,13,0,25,0,0,0.812183,0.827674
13-6 11-32-5,13,0,25,1,0,0.93021,0.863397
13-6 11-32-5,13,0,25,2,0,0.845885,0.998058
13-6 11-32-5,13,0,25,3,0,0.940536,0.928441
13-6 11-32-5,13,0,25,4,0,0.945018,0.938836
13-6 12-8-17,14,1,23,0,0,0.667527,0.595756
13-6 12-8-17,14,1,23,1,0,0.720009,0.710746
13-6 12-8-17,14,1,23,2,0,0.69255,0.367039
13-6 12-8-17,14,1,23,3,0,0.862185,0.158394
13-6 12-8-17,14,1,23,4,0,0.232082,0.688639
13-6 13-32-14,15,0,20,0,0,1.0,0.865443
13-6 13-32-14,15,0,20,1,0,1.0,0.855462
13-6 13-32-14,15,0,20,2,0,1.0,0.936134
13-6 13-32-14,15,0,20,3,0,0.951642,1.0
13-6 13-32-14,15,0,20,4,0,1.0,0.960541
13-6 16-6-32,16,1,29,0,0,0.703813,0.448486 
13-6 16-6-32,16,1,29,1,0,0.629183,0.529957
13-6 16-6-32,16,1,29,2,0,0.68807,0.491338
13-6 16-6-32,16,1,29,3,0,0.664033,0.532057 
13-6 16-6-32,16,1,29,4,0,0.628751,0.531326 
13-6 20-43-32,17,0,33,0,0,0.671137,0.738666
13-6 20-43-32,17,0,33,1,0,0.599389,0.60713
13-6 20-43-32,17,0,33,2,0,0.608199,0.756557
13-6 20-43-32,17,0,33,3,0,0.542419,0.645061
13-6 20-43-32,17,0,33,4,0,0.578302,0.729789
14-6 12-8-8,18,0,20,0,0,0.868602,0.977602
14-6 12-8-8,18,0,20,1,0,0.985707,0.943986
14-6 12-8-8,18,0,20,2,0,0.976368,0.981135
14-6 12-8-8,18,0,20,3,0,0.981498,0.935652
14-6 12-8-8,18,0,20,4,0,0.889081,0.884274
14-6 17-28-39,19,0,25,0,0,0.454149,0.577847
14-6 17-28-39,19,0,25,1,0,0.6538,0.681741
14-6 17-28-39,19,0,25,2,0,0.630146,0.755993
14-6 17-28-39,19,0,25,3,0,0.453259,0.640443
14-6 17-28-39,19,0,25,4,0,0.440856,0.452897
14-6 18-16-8,20,1,31,0,0,0.757646,0.927043 
14-6 18-16-8,20,1,31,1,0,0.732155,0.889729
14-6 18-16-8,20,1,31,2,0,0.770003,0.842005
14-6 18-16-8,20,1,31,3,0,0.789559,0.864174 
14-6 18-16-8,20,1,31,4,0,0.7929,0.90715 
14-6 18-41-37,21,1,26,0,0,0.79747,0.626272
14-6 18-41-37,21,1,26,1,0,0.58629,0.507338
14-6 18-41-37,21,1,26,2,0,0.816953,0.87011
14-6 18-41-37,21,1,26,3,0,0.753262,0.632107
14-6 18-41-37,21,1,26,4,0,0.352235,0.460714
14-6 19-14-1,22,1,29,0,0,0.562919,0.546753
14-6 19-14-1,22,1,29,1,0,0.703442,0.656048
14-6 19-14-1,22,1,29,2,0,0.536006,0.512373
14-6 19-14-1,22,1,29,3,0,0.604533,0.498212
14-6 19-14-1,22,1,29,4,0,0.507048,0.434761
14-6 19-40-15,23,1,29,0,0,0.777509,0.677128
14-6 19-40-15,23,1,29,1,0,0.620019,0.613105
14-6 19-40-15,23,1,29,2,0,0.721934,0.647848
14-6 19-40-15,23,1,29,3,0,0.687459,0.43038
14-6 19-40-15,23,1,29,4,0,0.568446,0.572779
14-6 20-4-52,24,0,30,0,0,0.603284,0.691809
14-6 20-4-52,24,0,30,1,0,0.717614,0.720612
14-6 20-4-52,24,0,30,2,0,0.752189,0.227131
14-6 20-4-52,24,0,30,3,0,0.811251,0.724695
14-6 20-4-52,24,0,30,4,0,0.416254,0.356799
19-6 18-34-38,25,1,29,0,1,0.759381,0.562691
19-6 18-34-38,25,1,29,1,1,0.725338,0.654966
19-6 18-34-38,25,1,29,2,1,0.760068,0.738592
19-6 18-34-38,25,1,29,3,1,0.7116,0.824242
19-6 18-34-38,25,1,29,4,1,0.764081,0.766455
19-6 19-7-3,26,1,34,0,1,0.934091,0.76743
19-6 19-7-3,26,1,34,1,1,0.832927,0.743611
19-6 19-7-3,26,1,34,2,1,0.707774,0.604921
19-6 19-7-3,26,1,34,3,1,0.811163,0.378143
19-6 19-7-3,26,1,34,4,1,0.350576,0.411839
19-6 22-35-30,27,1,39,0,1,0.571013,0.518869
19-6 22-35-30,27,1,39,1,1,0.670276,0.592982
19-6 22-35-30,27,1,39,2,1,0.786808,0.56644
19-6 22-35-30,27,1,39,3,1,0.655448,0.531899
19-6 22-35-30,27,1,39,4,1,0.714492,0.698031
20-6 10-8-21,28,0,23,0,1,0.890268,1.0
20-6 10-8-21,28,0,23,1,1,1.0,1.0
20-6 10-8-21,28,0,23,2,1,0.968712,0.946841
20-6 10-8-21,28,0,23,3,1,0.898414,0.878404
20-6 10-8-21,28,0,23,4,1,0.853734,0.910576
20-6 12-9-28,29,0,21,0,1,0.707094,0.676176 
20-6 12-9-28,29,0,21,1,1,0.901169,0.701407
20-6 12-9-28,29,0,21,2,1,0.792214,0.732238
20-6 12-9-28,29,0,21,3,1,0.575167,0.689117
20-6 12-9-28,29,0,21,4,1,0.601698,0.595942
20-6 12-33-20,30,0,24,0,1,0.612346,0.619291
20-6 12-33-20,30,0,24,1,1,0.407464,0.589971
20-6 12-33-20,30,0,24,2,1,0.645556,0.614091
20-6 12-33-20,30,0,24,3,1,0.640414,0.538332
20-6 12-33-20,30,0,24,4,1,0.75534,0.428224
20-6 14-33-35,31,1,25,0,1,0.320792,0.41308
20-6 14-33-35,31,1,25,1,1,0.334324,0.700664
20-6 14-33-35,31,1,25,2,1,0.646691,0.710353
20-6 14-33-35,31,1,25,3,1,0.489599,0.353638
20-6 14-33-35,31,1,25,4,1,0.464639,0.513203
20-6 17-6-0,32,0,27,0,1,0.724271,0.725465
20-6 17-6-0,32,0,27,1,1,0.749863,0.744011
20-6 17-6-0,32,0,27,2,1,0.804601,0.686563
20-6 17-6-0,32,0,27,3,1,0.756571,0.752535
20-6 17-6-0,32,0,27,4,1,0.796145,0.678741
20-6 17-26-52,33,0,29,0,1,0.700197,0.81088 
20-6 17-26-52,33,0,29,1,1,0.814229,0.958161
20-6 17-26-52,33,0,29,2,1,0.571395,0.592344
20-6 17-26-52,33,0,29,3,1,0.919522,1.0
20-6 17-26-52,33,0,29,4,1,0.636998,0.4195
20-6 18-3-34,34,1,34,0,1,0.798296,0.642597
20-6 18-3-34,34,1,34,1,1,0.810151,0.839618
20-6 18-3-34,34,1,34,2,1,0.658536,0.838625
20-6 18-3-34,34,1,34,3,1,0.755758,0.86395
20-6 18-3-34,34,1,34,4,1,0.805029,0.802234
20-6 18-41-39,35,0,40,0,1,0.523572,0.545577
20-6 18-41-39,35,0,40,1,1,0.637594,0.635283
20-6 18-41-39,35,0,40,2,1,0.641913,0.637663
20-6 18-41-39,35,0,40,3,1,0.624825,0.770202
20-6 18-41-39,35,0,40,4,1,0.606627,0.685066
20-6 20-46-56,36,0,27,0,1,0.505567,0.66377
20-6 20-46-56,36,0,27,1,1,0.776024,0.778077
20-6 20-46-56,36,0,27,2,1,0.787908,0.782903 
20-6 20-46-56,36,0,27,3,1,0.587973,0.550994
20-6 20-46-56,36,0,27,4,1,0.602913,0.812188
20-6 22-51-24,37,1,32,0,1,0.99123,0.91508
20-6 22-51-24,37,1,32,1,1,0.836418,0.320289
20-6 22-51-24,37,1,32,2,1,0.515988,1.0
20-6 22-51-24,37,1,32,3,1,0.443828,1.0
20-6 22-51-24,37,1,32,4,1,0.446956,1.0
21-6 19-1-1,38,1,29,0,1,0.761006,1.0
21-6 19-1-1,38,1,29,1,1,0.590079,0.999165
21-6 19-1-1,38,1,29,2,1,0.473935,0.935022
21-6 19-1-1,38,1,29,3,1,0.643189,1.0
21-6 19-1-1,38,1,29,4,1,0.782969,0.794607
21-6 19-38-34,39,1,30,0,1,0.720434,0.59707
21-6 19-38-34,39,1,30,1,1,0.909933,0.84976
21-6 19-38-34,39,1,30,2,1,0.82953,0.383768
21-6 19-38-34,39,1,30,3,1,0.76992,0.126712
21-6 19-38-34,39,1,30,4,1,0.186645,0.656254
21-6 20-29-12,40,1,29,0,1,0.712829,0.819969
21-6 20-29-12,40,1,29,1,1,0.756374,0.797274
21-6 20-29-12,40,1,29,2,1,0.886037,0.91029
21-6 20-29-12,40,1,29,3,1,0.403657,0.456799
21-6 20-29-12,40,1,29,4,1,0.269424,0.333763
21-6 23-36-31,41,1,28,0,1,0.535174,0.528214
21-6 23-36-31,41,1,28,1,1,0.385365,0.65627
21-6 23-36-31,41,1,28,2,1,0.780236,0.736554
21-6 23-36-31,41,1,28,3,1,0.357177,0.571191
21-6 23-36-31,41,1,28,4,1,0.757809,0.748743
22-6 16-58-17,42,0,26,0,1,0.771592,0.955201
22-6 16-58-17,42,0,26,1,1,0.84634,0.869065
22-6 16-58-17,42,0,26,2,1,0.578996,0.927364
22-6 16-58-17,42,0,26,3,1,0.595465,0.730666
22-6 16-58-17,42,0,26,4,1,0.8622,0.964909
22-6 17-20-10,43,1,26,0,1,0.734764,0.731686
22-6 17-20-10,43,1,26,1,1,0.467521,0.650447
22-6 17-20-10,43,1,26,2,1,0.615434,0.604112
22-6 17-20-10,43,1,26,3,1,0.827052,0.433841
22-6 17-20-10,43,1,26,4,1,0.899497,0.867191
29-6 18-45-39,44,0,26,0,1,0.347103,0.563909
29-6 18-45-39,44,0,26,1,1,0.926021,0.926783
29-6 18-45-39,44,0,26,2,1,0.182373,0.440589
29-6 18-45-39,44,0,26,3,1,0.693595,0.62402
29-6 18-45-39,44,0,26,4,1,0.358266,0.786047
30-6 8-27-7,45,1,31,0,1,0.699206,0.502653
30-6 8-27-7,45,1,31,1,1,0.460191,0.503163 
30-6 8-27-7,45,1,31,2,1,0.702232,0.555962
30-6 8-27-7,45,1,31,3,1,0.61168,0.505256 
30-6 8-27-7,45,1,31,4,1,0.571276,0.506308 
30-6 15-32-4,46,0,24,0,1,0.588326,0.544081
30-6 15-32-4,46,0,24,1,1,0.668067,0.418749
30-6 15-32-4,46,0,24,2,1,0.295196,0.460193
30-6 15-32-4,46,0,24,3,1,0.308319,0.412779 
30-6 15-32-4,46,0,24,4,1,0.581488,0.700729
2-7 15-25-9,47,0,34,0,1,0.809193,0.663106
2-7 15-25-9,47,0,34,1,1,0.745378,0.709678
2-7 15-25-9,47,0,34,2,1,0.82563,0.783476
2-7 15-25-9,47,0,34,3,1,0.828104,0.757832
2-7 15-25-9,47,0,34,4,1,0.838923,0.862684 
2-7 16-0-40,48,0,36,0,1,0.276102,0.453047
2-7 16-0-40,48,0,36,1,1,0.346569,0.816405
2-7 16-0-40,48,0,36,2,1,0.665535,0.384862
2-7 16-0-40,48,0,36,3,1,0.434098,0.360596
2-7 16-0-40,48,0,36,4,1,0.75021,0.693984
